"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GBP4",-0.117337036290324,3.7815853968254,-2.01863921890549,0.0477126745847428,0.999989830735706,-4.05488347539972
"CD86",-0.117427805443548,3.2295949047619,-3.1213460612963,0.00269963594799804,0.999989830735706,-1.66003534309937
"RBP4",-0.117588180443551,5.49059844444444,-2.22136494690596,0.02986520780173,0.999989830735706,-3.67817432528427
"ST8SIA4",-0.118613143145161,3.93829263492063,-2.47640284620425,0.0159216545916746,0.999989830735706,-3.1614353849173
"GZMB",-0.119117146169356,4.41844373015873,-2.52494611732151,0.0140566599605158,0.999989830735706,-3.05788253202365
"ME1",-0.120068968750001,2.96123858730159,-2.52240856770837,0.0141490370469705,0.999989830735706,-3.06333582804613
"DPYSL2",-0.120252170866937,6.0585055,-2.63047846520663,0.0106656557155667,0.999989830735706,-2.82721514730163
"CLEC2B",-0.120874612903227,3.21206298412698,-2.48968697636388,0.0153903233258655,0.999989830735706,-3.13325922185639
"MIR30A",-0.120993549395162,2.90178153968254,-2.29055191267365,0.025288598351902,0.999989830735706,-3.54261326020476
"CFL2",-0.121174976814517,5.87594056349206,-2.11783732240273,0.0380727650202835,0.999989830735706,-3.87441846210944
"SPATS2L",-0.12187812197581,6.00537555555556,-3.08674127866255,0.0029880188731289,0.999989830735706,-1.74713655697108
"SULF2",-0.121931641129033,5.10335198412698,-2.83682954674166,0.00609248137843531,0.999989830735706,-2.35491474293063
"CCL8",-0.122249537298388,3.24081119047619,-2.70553218401616,0.00872685100508549,0.999989830735706,-2.65863485288592
"IGFBP4",-0.122379980846776,6.88054212698413,-2.32474396707701,0.0232651460424705,0.999989830735706,-3.4743341583579
"LOC101927730",-0.122986429435485,4.02929344444444,-2.22585732575508,0.0295472913988932,0.999989830735706,-3.66947866518649
"ACTG2",-0.123049780241937,4.79950049206349,-2.26290453865182,0.027037170495746,0.999989830735706,-3.59720347591512
"ZNF107",-0.124765036290324,4.13655244444444,-2.05656413853866,0.0438037402183643,0.999989830735706,-3.98677413526211
"HLA-K",-0.125340419858873,4.32493046031746,-2.39867628715227,0.0193745480932647,0.999989830735706,-3.32382968615849
"CCL3",-0.126381876008065,5.85198606349206,-2.74770245119886,0.00778455017217303,0.999989830735706,-2.56229461250525
"LGALS9",-0.126444197076612,5.60954318253968,-2.8244768035134,0.00630480353472552,0.999989830735706,-2.38395865905198
"ZEB1",-0.126746874999999,4.28889763492063,-2.81395395893805,0.00649102686262051,0.999989830735706,-2.40862399520768
"HLA-A",-0.127120809475808,6.5689046031746,-2.42003157323211,0.018364651909861,0.999989830735706,-3.27963421599042
"GPR174",-0.127529984879033,2.38611138095238,-3.33009170890983,0.00144315441032166,0.999989830735706,-1.12019266095174
"DTX3L",-0.12833627721774,5.72760219047619,-2.47314401169393,0.0160544960363144,0.999989830735706,-3.16832881654356
"CLU",-0.128878578125,6.02684936507937,-2.08400630227436,0.041150744236649,0.999989830735706,-3.93680590828341
"IER3",-0.129181687500001,6.3147089047619,-2.43376359104859,0.0177404311803559,0.999989830735706,-3.25104579121315
"RBP1",-0.129360360887097,5.2275086984127,-2.05931938528508,0.043530858236047,0.999989830735706,-3.98178312439833
"PRELP",-0.129900047379037,4.89002753968254,-3.15994533623407,0.00240876516887038,0.999989830735706,-1.56206288931497
"MMP19",-0.130501337701617,5.17299441269841,-3.15231485604409,0.00246382933145137,0.999989830735706,-1.58149838213687
"TAP1",-0.131374197580645,4.47648357142857,-2.43799950838643,0.0175517550303264,0.999989830735706,-3.24220041653044
"SNORD115-38",-0.131386036290323,2.2287243968254,-2.29916675387149,0.0247646023899193,0.999989830735706,-3.52548966972033
"MX1",-0.132099811995968,5.25194716666667,-2.43173348709523,0.0178314992138444,0.999989830735706,-3.2552805635847
"PITPNC1",-0.132224958669354,4.49421079365079,-2.3477415094712,0.0219863764920847,0.999989830735706,-3.42793614294897
"DAPP1",-0.132287449596777,4.25831076190476,-2.14358096515174,0.0358667375776025,0.999989830735706,-3.82636685033771
"PRNP",-0.132421825604841,7.02697253968254,-2.93941196461116,0.00456786362176117,0.999989830735706,-2.11003873099476
"AQP9",-0.132660035282259,3.34084125396825,-2.5278012945813,0.0139533715370927,0.999989830735706,-3.05174136527346
"FKBP5",-0.133155931451614,4.67716304761905,-3.58948496093313,0.000641823985817283,0.999989830735706,-0.416752342006538
"ETS2",-0.133219078629034,6.36150068253968,-2.32329955859367,0.0233476247984595,0.999989830735706,-3.47723560283323
"HLA-C",-0.133693758568549,5.54148633333333,-3.16861356617093,0.00234761158500507,0.999989830735706,-1.53994379463828
"EPS8",-0.135114516129034,5.09173592063492,-2.85045672895144,0.00586591270720434,0.999989830735706,-2.32276281317684
"ARHGEF6",-0.135655932459679,5.05616423809524,-2.15696125612909,0.0347648388595752,0.999989830735706,-3.80119568594432
"CEACAM1",-0.136073096270163,5.57487908730159,-2.16060822017628,0.0344696815781397,0.999989830735706,-3.79431176133346
"PDGFRA",-0.136193014112903,5.48302004761905,-2.25355870797845,0.0276519597706373,0.999989830735706,-3.61553099935945
"C1orf21",-0.136539355846775,4.50101006349206,-2.16690383341091,0.0339653169962141,0.999989830735706,-3.7824049495775
"MSR1",-0.136657893649192,4.26063506349206,-2.2552609463404,0.0275390720650216,0.999989830735706,-3.61219760003167
"MYH11",-0.137065141129033,5.87168712698413,-2.68500837206876,0.00922222520717578,0.999989830735706,-2.70510289841628
"PLEK",-0.137898969758064,4.75983111111111,-2.10992134853171,0.0387744294643857,0.999989830735706,-3.8890937291463
"IL1RAP",-0.139429778225806,5.79201842857143,-2.1093790919508,0.0388229035077647,0.999989830735706,-3.89009727825914
"TMEM74B",-0.139746111895163,5.64459542857143,-2.41558377716639,0.0185710154018204,0.999989830735706,-3.28886558021629
"SNORD115-32",-0.14039350201613,2.38846307936508,-2.44097318852885,0.0174203790221848,0.999989830735706,-3.23598331731984
"FCGR3B",-0.140705088709682,5.38170058730159,-2.07682858997422,0.0418308473895416,0.999989830735706,-3.94993079935255
"LOC154761",-0.141228589717744,5.42406571428571,-2.04472957178823,0.0449927225309709,0.999989830735706,-4.00814602786315
"SLAMF6",-0.141762424395162,2.64986526984127,-3.51866096895072,0.000803466505823691,0.999989830735706,-0.612242963543106
"BACH1",-0.141812796370971,5.84538858730159,-2.08672235154737,0.0408959043933467,0.999989830735706,-3.93182924688108
"PLPP2",-0.141918781250003,6.64313926984127,-2.0431381988053,0.0451547084723742,0.999989830735706,-4.01101170246084
"PARP9",-0.144391603830647,4.09961655555556,-2.9069144566831,0.00500763122822586,0.999989830735706,-2.1883198308752
"CLEC4E",-0.14761329637097,2.6479223015873,-3.63677617189752,0.000551673105991641,0.999989830735706,-0.284837150998362
"CALD1",-0.150875060483876,5.97305698412698,-2.03925987461953,0.0455515923097305,0.999989830735706,-4.01798750155682
"APOO",-0.151094643649194,4.93080811111111,-2.85250474598596,0.00583254167126958,0.999989830735706,-2.31792064135069
"GRHL1",-0.151373951612908,6.96275309523809,-2.06788894093511,0.0426914962796592,0.999989830735706,-3.96622275318159
"SNORD115-39",-0.151447963709677,2.37230088888889,-2.31388884117492,0.0238913845657635,0.999989830735706,-3.49610252433194
"CST7",-0.151723810483873,5.71814787301587,-3.01982784969613,0.00362891033838356,0.999989830735706,-1.9135664891773
"GOLIM4",-0.153802655241935,5.36286098412698,-2.31476884737715,0.0238400647388279,0.999989830735706,-3.49434096374656
"GPR65",-0.154319934475807,3.27306217460317,-2.69381522672755,0.00900659318246614,0.999989830735706,-2.68519708639287
"PRKD3",-0.155378611895164,3.65477211111111,-2.52438017534604,0.0140772152127242,0.999989830735706,-3.05909914652337
"XAF1",-0.155701510080647,5.06917184126984,-2.87295566923587,0.00550878502175257,0.999989830735706,-2.2694239970057
"IL17RA",-0.15754390070565,5.42061302380952,-2.49501609634434,0.0151816998933338,0.999989830735706,-3.12192163232752
"IL2RG",-0.158122286290322,4.47711707936508,-3.02286106639357,0.00359728456544663,0.999989830735706,-1.90607957367209
"MFGE8",-0.158246441532261,5.56068098412698,-3.42983382234666,0.00106113539068336,0.999989830735706,-0.853832402648258
"FCGR3A",-0.158728788306451,5.07295407936508,-2.10255089954596,0.0394378210186852,0.999989830735706,-3.90271515018507
"ERVK-7",-0.158888900201617,5.21468433333333,-2.10311410920806,0.0393867824855463,0.999989830735706,-3.90167572318822
"IDO1",-0.159836425403227,5.11586185714286,-2.26576418846669,0.0268514846320736,0.999989830735706,-3.59158285352661
